Date,M,AL,AS,BR,CA,CL,CR,CU,EC1,EC2,EC3,FE,H,K,MN,NA,NI,NO3,OC1,OC2,OC3,OC4,OP,PB,RB,S,SE,SI,SR,TI,V,ZN
26-ธ.ค.-00,16.47436,0.00518,0.00067,0.00388,0.06042,0.003035,0.00081,0.00274,1.4578,0.1175,0.00905,0.09595,0.76714,0.08562,0.00232,0.034395,0.00122,1.4791,0.03615,0.8645,0.8042,0.8494,0.2289,0.00351,0.000075,2.05581,0.00179,0.1544,0.00195,0.00557,0.00347,0.01154
27-ธ.ค.-00,24.60815,0.00696,0.00132,0.0062,0.09433,0.00392,0.00105,0.00908,4.6894,0.087,0.0093,0.2595,1.17669,0.10123,0.00346,0.39704,0.00511,2.1939,0.8106,1.0714,1.4193,1.5404,1.0062,0.00666,0.00008,2.39755,0.00198,0.18177,0.00155,0.00942,0.0072,0.0263
28-ธ.ค.-00,7.19626,0.004,0.00043,0.0027,0.03111,0.0024,0.000655,0.00213,0.8323,0.0839,0.0093,0.08146,0.35093,0.03955,0.0006,0.16872,0.00447,0.3404,0.03725,0.3261,0.2826,0.4161,0.2578,0.00321,0.00007,1.03797,0.00088,0.06756,0.00026,0.0064,0.00942,0.00928
29-ธ.ค.-00,20.89109,0.00451,0.00026,0.00833,0.06937,0.00268,0.000715,0.00508,3.0798,0.0429,0.0092,0.12555,0.86966,0.11064,0.000655,0.297,0.00088,1.4914,0.3712,0.8006,1.1442,1.2546,0.9877,0.0062,0.000075,1.83954,0.00269,0.17461,0.00044,0.00666,0.00184,0.02064
30-ธ.ค.-00,32.14521,0.006755,0.00078,0.00787,0.06731,0.00391,0.001025,0.00513,3.6839,0.079,0.0091,0.13203,1.48707,0.11073,0.00094,0.04534,0.00445,4.1781,0.7052,1.0578,1.5593,1.8875,1.4012,0.00638,0.00008,3.10971,0.00318,0.21935,0.00089,0.00777,0.01283,0.02047
31-ธ.ค.-00,17.57962,0.006175,0.00101,0.00539,0.10931,0.003655,0.001005,0.00856,3.1331,0.1183,0.0089,0.24703,0.63832,0.09386,0.00385,0.0389,0.00808,2.3287,0.8343,0.5858,1.0414,1.0355,0.0207,0.00835,0.00008,1.07307,0.00148,0.28443,0.00143,0.01401,0.00997,0.0311
1-ม.ค.-01,28.51613,0.007125,0.00117,0.01174,0.05572,0.004115,0.0011,0.00727,2.0414,0.068,0.0089,0.16727,1.03862,0.10648,0.00383,0.67939,0.0043,6.6364,0.6982,0.574,0.8077,0.8343,0.429,0.01184,0.00008,2.15912,0.00207,0.14734,0.00057,0.00595,0.012,0.02635
2-ม.ค.-01,25.12987,0.006765,0.000265,0.00734,0.08977,0.003935,0.001025,0.00899,5.1796,0.0898,0.1168,0.21805,1.17971,0.0935,0.000935,0.044205,0.00807,1.7621,1.2635,1.1557,0.9162,0.5629,1.2246,0.00663,0.000075,1.89622,0.00297,0.22727,0.00128,0.00793,0.00619,0.02167
3-ม.ค.-01,15.71429,0.0526,0.00085,0.00536,0.06864,0.00312,0.000855,0.00415,1.253,0.0793,0.0518,0.12251,0.63057,0.07088,0.00078,0.032765,0.00693,1.599667626,0.2957,0.439,0.3994,0.6555,0.2165,0.00778,0.000075,1.3885,0.00192,0.13874,0.00042,0.00484,0.00476,0.02204
4-ม.ค.-01,26.80511,0.006595,0.00157,0.01205,0.08752,0.003925,0.001055,0.00888,4.9119,0.0517,0.0091,0.23359,1.19918,0.10137,0.000965,0.04173,0.00745,1.599667626,1.4468,1.1976,1.5289,1.2158,1.5319,0.00709,0.00008,1.63768,0.0024,0.1301,0.00188,0.00653,0.01463,0.03218
5-ม.ค.-01,7.94953,0.00367,0.00068,0.00317,0.02098,0.002325,0.00067,0.00258,1.2952,0.0602,0.00905,0.0789,0.399,0.04685,0.000615,0.02348,0.00278,1.599667626,0.3102,0.4127,0.5813,0.5602,0.3464,0.00263,0.00007,0.76255,0.00094,0.06298,0.00024,0.00208,0.00434,0.00984
6-ม.ค.-01,12.95597,0.004685,0.00046,0.0066,0.06824,0.47821,0.00075,0.00442,1.6228,0.0749,0.021,0.10573,0.63237,0.06166,0.000685,0.51541,0.00176,1.522,0.4671,0.5419,0.7754,0.8263,0.02095,0.00438,0.000075,1.04347,0.00212,0.04778,0.0006,0.0046,0.0054,0.01745
7-ม.ค.-01,16.33758,0.00483,0.000255,0.01113,0.02941,0.00291,0.000795,0.00259,1.6842,0.0155,0.0093,0.04977,0.67175,0.04142,0.00073,0.72382,0.00147,1.8686,0.3901,0.4768,0.3591,0.6254,0.1641,0.00641,0.000075,1.8129,0.00273,0.04559,0.00042,0.0031,0.00097,0.01713
8-ม.ค.-01,12.14058,0.003755,0.00072,0.00324,0.01526,0.00235,0.000655,0.00228,1.2431,0.0585,0.0338,0.05749,0.56353,0.05562,0.0006,0.02395,0.00166,1.599667626,0.3508,0.4431,0.5231,0.6862,0.3292,0.00314,0.000075,1.36061,0.00077,0.04904,0.00215,0.00289,0.00398,0.00989
9-ม.ค.-01,22.7476,0.00409,0.00101,0.00643,0.03025,0.00259,0.0007,0.00455,3.1548,0.1362,0.0093,0.09228,1.21579,0.09468,0.0019,0.02851,0.00229,1.599667626,0.5944,0.8421,1.257,1.4334,0.7399,0.00574,0.0001,1.79488,0.00398,0.08543,0.000115,0.00538,0.0036,0.01984
10-ม.ค.-01,8.81789,0.00304,0.000305,0.00275,0.01895,0.00202,0.00058,0.0019,0.8906,0.1185,0.0243,0.04946,0.43721,0.04829,0.00053,0.021585,0.00066,1.599667626,0.1246,0.3921,0.465,0.6079,0.234,0.00459,0.00009,0.75074,0.00149,0.05484,0.000105,0.0041,0.000705,0.00886
11-ม.ค.-01,32.39482,0.41411,0.000585,0.00664,0.57348,0.00349,0.00092,0.01133,1.9969,0.0497,0.0093,0.62659,1.11157,0.1991,0.01157,0.22904,0.00917,1.599667626,0.646,0.677,0.8509,1.0559,0.1832,0.02186,0.000115,2.14006,0.00221,0.96454,0.0021,0.03336,0.00864,0.0434
12-ม.ค.-01,4.82201,0.003025,0.000205,0.00133,0.00955,0.00201,0.000615,0.00218,0.693,0.0411,0.0095,0.04249,0.2627,0.03079,0.00147,0.07655,0.0027,0.7488,0.1899,0.2342,0.2278,0.269,0.2595,0.00156,0.00009,0.48918,0.00051,0.03603,0.000105,0.000865,0.00183,0.00523
13-ม.ค.-01,24.50794,0.004135,0.00039,0.01184,0.03717,0.002525,0.00063,0.00405,2.3148,0.0401,0.00925,0.04863,1.16999,0.10541,0.000575,0.37133,0.0031,1.599667626,0.7747,0.716,1.2377,1.3179,0.6296,0.00862,0.0001,2.77207,0.00457,0.09826,0.00029,0.00424,0.01382,0.01452
14-ม.ค.-01,20.03175,0.00389,0.00177,0.00671,0.03703,0.00244,0.00067,0.00974,2.5963,0.1193,0.00915,0.208,1.09779,0.0834,0.00454,0.16058,0.00188,2.6051,0.7034,0.8135,1.4251,1.5963,0.0734,0.00684,0.0001,1.74528,0.00363,0.08646,0.000115,0.00554,0.003,0.02251
15-ม.ค.-01,20.48387,0.004285,0.00126,0.00855,0.0483,0.00274,0.00075,0.00666,2.5155,0.0932,0.0093,0.16538,0.96965,0.09326,0.0031,0.12715,0.00204,2.7925,1.087,0.7919,1.4627,1.528,0.1429,0.00502,0.0001,1.47707,0.00352,0.12775,0.00041,0.00797,0.00646,0.01781
16-ม.ค.-01,13.76206,0.0043,0.00039,0.00297,0.34074,0.002665,0.00071,0.00485,1,0.0769,0.00925,0.32471,0.53492,0.1459,0.00386,0.03003,0.00466,1.599667626,0.3108,0.5508,0.4708,0.5815,0.4892,0.01049,0.0001,1.00778,0.00089,0.59377,0.00139,0.02084,0.0033,0.01144
17-ม.ค.-01,12.90221,0.03531,0.000355,0.00668,0.0232,0.002325,0.00067,0.00293,2.1785,0.0554,0.00925,0.08101,0.66922,0.0557,0.000615,0.025375,0.00309,1.599667626,0.5908,0.76,1.4523,1.28,0.02155,0.0057,0.000095,1.42429,0.00286,0.07552,0.000115,0.00381,0.00407,0.01754
18-ม.ค.-01,15.42587,0.02658,0.00193,0.00628,0.01916,0.002125,0.0006,0.00437,0.7169,0.0646,0.00925,0.04383,0.7103,0.09948,0.00055,0.1003,0.00287,1.599667626,0.4031,0.4031,0.8554,0.8092,0.02155,0.00608,0.0001,0.95382,0.00179,0.04204,0.000115,0.000845,0.00435,0.02378
19-ม.ค.-01,14.29967,0.00358,0.00036,0.00605,0.03535,0.00232,0.00064,0.0054,1.3025,0.0494,0.00925,0.11645,0.69379,0.05647,0.00187,0.024725,0.00317,1.8093,0.3981,0.6204,0.6759,0.9599,0.0216,0.00737,0.00038,1.68185,0.00325,0.08995,0.00037,0.00441,0.00078,0.02875
20-ม.ค.-01,22.25166,0.00375,0.00112,0.0109,0.01846,0.002405,0.00067,0.00515,1.4756,0.0396,0.00915,0.06555,1.04221,0.06241,0.000615,0.19832,0.00396,4.5079,0.1982,0.7073,0.9634,1.0274,0.0945,0.00953,0.000105,1.69249,0.00234,0.05731,0.00012,0.00279,0.00541,0.02298
21-ม.ค.-01,10.61489,0.003095,0.00033,0.00276,0.01776,0.00204,0.000595,0.00509,1.5262,0.08,0.00925,0.09346,0.55909,0.03975,0.00138,0.10183,0.00298,1.3035,0.2,0.7785,0.9969,1.1846,0.02155,0.00612,0.000095,1.00999,0.00101,0.07879,0.000115,0.00357,0.00855,0.01165
22-ม.ค.-01,34.36066,0.0053,0.00136,0.01238,0.04519,0.00324,0.000845,0.00977,2.3441,0.09,0.045,0.18246,1.84923,0.12993,0.000775,0.50279,0.00396,6.3581,0.6141,1.1994,2.074,2.2701,0.0225,0.01157,0.000115,3.3541,0.00583,0.12695,0.00013,0.00818,0.00624,0.07443
23-ม.ค.-01,27.88274,0.00433,0.00222,0.00557,0.06557,0.002835,0.000795,0.01053,4.0494,0.0957,0.00925,0.27194,1.33575,0.15606,0.00073,0.27214,0.00265,1.599667626,2.0216,1.7809,3.6049,2.8549,0.0216,0.0049,0.00051,0.81118,0.00078,0.11269,0.0059,0.00604,0.00767,0.02168
24-ม.ค.-01,12.99363,0.003605,0.0014,0.00563,0.02356,0.002325,0.000655,0.00342,1.7778,0.2037,0.0432,0.06174,0.76965,0.04935,0.0006,0.024915,0.00128,1.5276,0.6142,0.4568,0.6759,0.713,0.6389,0.00429,0.000095,1.63391,0.00168,0.07797,0.000115,0.00092,0.000795,0.01062
